Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,2.1097213081691577,0.21314,1.9986661114270174,0.2692
2,1.9604970049065398,0.3114,1.9245080102848102,0.3432
3,1.9070132711659307,0.3497,1.8907860864566852,0.3846
4,1.8739910272076308,0.38322,1.86325285706339,0.3966
5,1.8485734163952605,0.41516,1.8404166306121439,0.417
6,1.8274485595390926,0.44104,1.8211799331858187,0.4166
7,1.8120313093180547,0.4603,1.8113115527961827,0.4598
8,1.7958448756381373,0.48174,1.801763220678402,0.488
9,1.7795232592336356,0.50656,1.7843017578125,0.5074
10,1.767735161744725,0.52556,1.7740078696721717,0.5078
11,1.7556361713067954,0.5451,1.7592346577704707,0.548
12,1.7432971573851603,0.56588,1.7560100313983387,0.5674
13,1.7331684824755735,0.58356,1.7393609541880934,0.5874
14,1.7256862123299133,0.59612,1.7305008127719541,0.5824
15,1.7150306408972387,0.61316,1.7254128757911393,0.5952
16,1.7086901262288203,0.62284,1.726388472544996,0.616
17,1.701141513522019,0.63396,1.728885505772844,0.5806
18,1.6943874310349565,0.6454,1.7091106945955301,0.6272
19,1.6869262344087177,0.65474,1.7042804186857199,0.646
20,1.6807674788453084,0.6631,1.6976625466648536,0.641
21,1.6755198603091033,0.6734,1.7037119805058347,0.6486
22,1.66991945544777,0.6824,1.6908876443211036,0.6666
23,1.6638711017111074,0.69114,1.6841581320460839,0.6764
24,1.6595385422182205,0.69744,1.6826463530335245,0.686
25,1.6553478777561041,0.70634,1.6769849559928798,0.691
26,1.6500769807859454,0.71578,1.676884711543216,0.687
27,1.6447825712316178,0.72336,1.6798333276676227,0.6806
28,1.6419876176682884,0.72482,1.6682866736303401,0.7042
29,1.637005857189598,0.73502,1.6659901293018196,0.699
30,1.6337954235808623,0.73952,1.6668560172938094,0.7056
31,1.6297898548643301,0.74658,1.6651226961160008,0.7208
32,1.6273131699818175,0.75446,1.6579850595208663,0.713
33,1.6232620590483136,0.76072,1.6556645646879944,0.715
34,1.6201299096617248,0.76328,1.6567151033425633,0.721
35,1.613615870170886,0.77624,1.654060267194917,0.7416
36,1.612496866289612,0.77874,1.6479720103589794,0.7374
37,1.6093260040673454,0.7812,1.6513044140006923,0.7328
38,1.6079534935524396,0.7863,1.6405709182159811,0.7422
39,1.6034845025338176,0.7948,1.644519467897053,0.7358
40,1.6005083362159827,0.7966,1.6441461104380934,0.7474
41,1.5984220382807506,0.80178,1.6386328588558148,0.751
42,1.5930929549819672,0.80786,1.6337172109869462,0.7632
43,1.5923320448307126,0.81228,1.63357756409464,0.7504
44,1.5893473125174833,0.8143,1.6406292492830301,0.753
45,1.5875506388866687,0.81736,1.6365443362465388,0.7636
46,1.5844456899501478,0.8235,1.628733381440368,0.768
47,1.5823129522221169,0.82544,1.6328704447685918,0.773
48,1.5807228381066676,0.8293,1.6440464454361154,0.7654
49,1.578812172345798,0.8306,1.6300850397423854,0.7786
50,1.5761811824710779,0.8379,1.6254907921899724,0.775
51,1.5743096393087637,0.83938,1.6319850487045096,0.764
52,1.5719544393632112,0.84198,1.6283903484103046,0.7862
53,1.5704472924742248,0.84488,1.6247143322908426,0.7822
54,1.5687568449913083,0.84854,1.6212878649747824,0.7812
55,1.5662665013462076,0.85246,1.6251912177363528,0.7882
56,1.5648179895737593,0.85562,1.6214394871192643,0.7942
57,1.5636987125172335,0.85462,1.627589165409909,0.777
58,1.5614327238038983,0.86016,1.6220247292820411,0.7902
59,1.5606874626920657,0.86208,1.6204213975351067,0.7886
60,1.5579932132340453,0.8653,1.6211132580720926,0.7934
61,1.5483453072550353,0.8789,1.6162893560868274,0.805
62,1.546183417825138,0.88196,1.612814408314379,0.805
63,1.5447108276054988,0.8849,1.6173949422715586,0.8018
64,1.5430198923096328,0.88812,1.6131078019926819,0.8152
65,1.541961689434393,0.88786,1.6139215396929392,0.8104
66,1.5407908603053568,0.89188,1.6097703764710245,0.8114
67,1.5406873854224945,0.89178,1.617010768455795,0.8052
68,1.53974733084364,0.89408,1.6112269148041931,0.8076
69,1.5343057578786865,0.9011,1.609088559693928,0.8186
70,1.5336084195110193,0.90234,1.6115738108188291,0.82
71,1.5330598250679348,0.90354,1.6086908654321599,0.8142
72,1.5317187101944634,0.90428,1.6140911247156844,0.8126
73,1.5311660376351204,0.90668,1.6097603327111354,0.8148
74,1.5314968528649997,0.90708,1.6088378519951543,0.8142
75,1.5292304543887867,0.9085,1.6090968651107596,0.8236
