Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,1.4935253342551649,0.46352,1.1578441126437127,0.5954
2,0.9845489242573833,0.657,0.9273621372029751,0.6758
3,0.7965878073288046,0.72618,0.7597792442840866,0.7342
4,0.6859210087438984,0.76416,0.6919083331204667,0.7628
5,0.6171155199599083,0.78866,0.6444785210150706,0.7766
6,0.5569846018996385,0.80828,0.6028276251841195,0.7996
7,0.512663829261842,0.82388,0.5956005940708933,0.7962
8,0.47922366567889746,0.83326,0.5500575843491132,0.8162
9,0.442902005751572,0.84802,0.5274892954886714,0.8244
10,0.41260359058980745,0.85736,0.53678828930553,0.8184
11,0.3913645510516508,0.86612,0.5158734632821023,0.8342
12,0.36522553998338597,0.87356,0.49989211729055716,0.8336
13,0.34623335966902313,0.88136,0.501403234238866,0.8384
14,0.3266344938493903,0.88704,0.5072210120815265,0.8384
15,0.31405622241518383,0.89232,0.5270283505131926,0.8428
16,0.29362948145479195,0.89876,0.512404579905015,0.8382
17,0.27946629924485294,0.90404,0.53851440812968,0.8434
18,0.2726831989567679,0.90532,0.5120595693588257,0.8462
19,0.2532263014303601,0.9147,0.5002046508502357,0.8494
20,0.24488021881150468,0.916,0.5215286227721202,0.843
21,0.23558411195569331,0.91902,0.5285198531950577,0.8442
22,0.22163752704153739,0.92332,0.49213135374497763,0.8574
23,0.2173585089738183,0.92486,0.5153084453902667,0.8514
24,0.2062572377169376,0.92762,0.617921839031992,0.8404
25,0.2011599909857182,0.93138,0.4949384684426875,0.8594
26,0.19532955835437607,0.93344,0.5387216949764686,0.8464
27,0.19534088911302863,0.93276,0.5515251221913325,0.8542
28,0.18525955608576689,0.93644,0.5539463680190376,0.8482
29,0.17635794108033256,0.93968,0.5639745274299308,0.8522
30,0.11368515460854373,0.96102,0.5200848826501943,0.872
31,0.10271244105713828,0.96366,0.5013443350414687,0.869
32,0.09878745064844409,0.9664,0.5567374004970623,0.8654
33,0.08987110098609534,0.96902,0.539857177700423,0.868
34,0.08833713853098166,0.97002,0.6242367500745798,0.868
35,0.06295435323768184,0.97878,0.5680206565162803,0.8728
36,0.049925809035368286,0.983,0.5589826889807665,0.8782
37,0.05145149761834718,0.98232,0.5625642372083061,0.8712
38,0.050760894030084845,0.9825,0.582136386934715,0.8746
39,0.04762828497030317,0.98358,0.5508513312928284,0.8776
40,0.047768513836404854,0.98318,0.572738377353813,0.874
41,0.03422308695809844,0.9883,0.5896129012107849,0.8774
42,0.03358786851596421,0.98884,0.5750402161214925,0.8816
43,0.030767964113437,0.98996,0.582533339062069,0.8802
44,0.030349690100306744,0.98964,0.565881149301046,0.8822
45,0.029087821983963327,0.99034,0.570477140477941,0.882
46,0.02657479307164088,0.99172,0.5940613469368294,0.8812
47,0.026937883423493646,0.99078,0.5942048031506659,0.8804
48,0.023436103866476078,0.99242,0.6050083178885376,0.883
49,0.02456332795093279,0.9918,0.6318477797734586,0.8784
50,0.02405023556488478,0.99218,0.6289428340954871,0.8794
51,0.02178680497076353,0.99258,0.6245568683253059,0.8784
52,0.021621851352950954,0.99314,0.6473261089641836,0.8804
53,0.018142178485555875,0.99388,0.61777904931503,0.8828
54,0.017639034980303035,0.994,0.632312994969042,0.882
55,0.01835091003571706,0.9942,0.635537214577198,0.8866
56,0.016586093579792915,0.99494,0.6194399038824854,0.8886
57,0.016506439217787876,0.99466,0.6238840699573106,0.8818
58,0.016116720412279028,0.99498,0.6639631356619582,0.8802
59,0.0153933492491541,0.99518,0.6546967597324637,0.888
60,0.015449182013683307,0.99534,0.6479463766835913,0.8864
61,0.01217347673614464,0.99644,0.6612778847353368,0.8838
62,0.01442511432358752,0.99556,0.6425007820318017,0.8862
63,0.012042827001484612,0.99666,0.6368120158020454,0.8858
64,0.012948033530884386,0.99612,0.6159427388559414,0.8856
65,0.012287227439282037,0.99626,0.634309232989444,0.883
66,0.010914278978867757,0.99672,0.5947778722907924,0.889
67,0.01142285845916518,0.9967,0.6444816876061356,0.8818
68,0.011366191953706467,0.99662,0.6808660617923434,0.8842
69,0.011847292987720283,0.99642,0.6654646368343619,0.887
70,0.01192286494604843,0.99676,0.6487911775519576,0.8824
71,0.011159364198384534,0.9966,0.6550832126714006,0.8864
72,0.010145358469746912,0.99698,0.6633285271781909,0.8826
73,0.011232669958296944,0.99664,0.6704152611237538,0.8844
74,0.009815966331726298,0.9972,0.655284645248063,0.8858
75,0.011265870400459108,0.9969,0.6749061279093163,0.8824
76,0.011128428351619968,0.9969,0.6569971605380879,0.881
77,0.010550172039595863,0.99698,0.6334566281566137,0.8866
78,0.010326966207445887,0.99684,0.6465797126293182,0.8912
79,0.009946015432400777,0.99712,0.6760165597064586,0.8816
80,0.010227397274788079,0.997,0.6701184032084067,0.8828
81,0.009897388405907337,0.99724,0.6840675824050662,0.8878
82,0.010634583347212628,0.99694,0.6651526801523906,0.8872
83,0.010139485725851926,0.99682,0.6860945516183407,0.8804
84,0.009980558393918492,0.99698,0.6991575130178959,0.8822
85,0.009867147990333303,0.99708,0.6541554243127002,0.8898
86,0.009719628914523765,0.99704,0.6657175238751158,0.8896
87,0.009682825573569979,0.99708,0.6575468738999548,0.8866
88,0.00943627850154934,0.99726,0.6296106973026372,0.8904
89,0.009775724531153737,0.9972,0.6441265233332598,0.8878
90,0.010765249407409555,0.99668,0.6422229569546783,0.8854
91,0.010159768607191113,0.99702,0.6733924608819092,0.8854
92,0.009760593285645975,0.99726,0.6761392420039901,0.8844
93,0.010464411864862265,0.99694,0.658945164207039,0.8894
94,0.010581531383268668,0.99704,0.6808110356708116,0.885
95,0.009856246233157947,0.99704,0.6773930959686448,0.8842
96,0.009852223867631477,0.99746,0.638999405258064,0.8896
97,0.009675201202464073,0.99724,0.6579704362003109,0.8866
98,0.009313127680984147,0.99752,0.6878866758904879,0.8836
99,0.010048071839525115,0.99668,0.6673578248371052,0.8878
100,0.010683597582380485,0.99662,0.652967255326766,0.8892
